country_name,country_code,imports_usd,exports_usd,population_total,gdp_usd
Kosovo,XKX,9247483894.44267,5474849308.4911,1576876,12456403306.8191
Kyrgyz Republic,KGZ,14840274240.1743,6065757632.01443,7343064,22623752095.4613
Late-demographic dividend,LTE,8490827147042.33,9973708911895.42,2330425681,31873985161936.8
Latin America & Caribbean,LCN,1954827596596.67,1933775529013.06,666592570,7395989651242.09
Latin America & Caribbean (excluding high income),LAC,1649813653064.65,1602436230858.73,626808315,6523496128943.99
Latin America & the Caribbean (IDA & IBRD countries),TLA,1858078789817.98,1841196446084.32,651467364,7050566084338.85
Latvia,LVA,32648277349.5623,30422285148.0572,1847785,48618869160.3254
Least developed countries: UN classification,LDC,471390416178.846,358162886886.608,1214167506,1653686211542.1
Lesotho,LSO,2688114188.42089,1274711831.44221,2363325,2573572920.05159
Libya,LBY,31718873357.8984,34493399341.6137,7458555,48098909613.6316
Lithuania,LTU,65811494794.6705,69488132228.1881,2888774,95210150818.3512
Low & middle income,LMY,10097560770973.0,10477512551743.6,6791684991,41478597585191.8
Low income,LIC,217967585997.099,151660095528.084,767490169,642666054939.502
Lower middle income,LMC,1920924263691.98,1697797265606.54,2945282634,7308505375623.13
Luxembourg,LUX,161209915493.469,192728057158.053,686970,101157829491.107
"Macao SAR, China",MAC,24392856119.8833,48045096957.4623,685900,52061007670.169
Madagascar,MDG,6456688115.47184,4185661511.34711,32740678,19620352035.7899
Malawi,MWI,4289095537.90267,1588626335.55329,22216120,14918276698.303
Malaysia,MYS,308949499862.759,335105024619.412,35977838,472193128644.597
Mali,MLI,8027088524.12728,6638297560.40789,25198821,30069148580.7688
Malta,MLT,27745379955.5294,33078900363.3725,579704,27771821560.9411
Marshall Islands,MHL,246000000.0,111000000.0,36282,308000000.0
Mauritania,MRT,6327162514.07935,4654787700.16574,5315065,11679910946.4371
Mauritius,MUS,12103211066.0688,10508453742.1783,1243741,16157804491.7614
Mexico,MEX,738162519126.698,726556896246.645,131946900,1832641364775.52
"Micronesia, Fed. Sts.",FSM,356000000.0,111000000.0,113683,501797600.0
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,736579105958.827,534072577910.849,748489811,2115722770483.32
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,745540511675.545,537758037752.126,753903407,2132889870483.32
Middle income,MIC,9882995074658.74,10335312482102.6,6024194822,40836798203180.8
Moldova,MDA,12397142177.8302,6462088523.64641,2360527,20351796275.2943
Mongolia,MNG,15890791058.587,17268519883.6881,3568978,25369107325.4549
Montenegro,MNE,6066976621.67614,3698908466.47919,623129,9232801464.79257
Morocco,MAR,93252409526.967,76541039367.7208,38430770,182374250612.28
Mozambique,MOZ,12447253484.1041,9243792672.4646,35631653,22337997046.1913
Namibia,NAM,9636901881.39987,6737407578.92088,3092816,15080340653.5276
Nauru,NRU,182512104.371035,108730615.369979,12025,176040043.932346
Nepal,NPL,15341170693.8035,4015673776.7883,29618118,45489810283.1132
Netherlands,NLD,925615517034.116,1075134885755.68,18087633,1332767651100.39
Nicaragua,NIC,12198469835.601,9249209961.6921,7007502,22237167113.0916
Niger,NER,3927452302.33885,3411837458.42472,27917831,21646191388.2507
North Macedonia,MKD,14019083806.0384,11393731930.4666,1820909,19101199817.0174
Norway,NOR,178757867735.472,240819559118.237,5610870,530755719438.879
OECD members,OED,20551079820463.8,20496258555643.8,1402243571,72543267888365.3
Other small states,OSS,169328246900.281,173668049289.731,13034928,228636677706.691
Pakistan,PAK,70090772303.0925,40670467311.9112,255219554,407307214476.222
Paraguay,PRY,19366371816.8932,18320665709.9656,7013078,49278227554.3339
Peru,PER,73151196614.3585,100355362281.137,34576665,334854659181.893
Philippines,PHL,196019381535.854,129323001566.143,116786962,487086123720.417
Poland,POL,487505567677.639,517233997757.263,36435861,1035491784197.44
Portugal,PRT,148156593238.275,151336322847.151,10804871,346639825141.821
